Country,Population,abbr
IBRD only,4699231955,IBD
IDA & IBRD total,6273584648,IBT
IDA total,1574352693,IDA
IDA blend,521159047,IDB
Indonesia,261115456,IDN
IDA only,1053193646,IDX
Isle of Man,83737,IMN
India,1324171354,IND
Not classified,,INX
Ireland,4755335,IRL
"Iran, Islamic Rep.",80277428,IRN
Iraq,37202572,IRQ
Iceland,335439,ISL
Israel,8546000,ISR
Italy,60627498,ITA
Jamaica,2881355,JAM
Jordan,9455802,JOR
Japan,126994511,JPN
Kazakhstan,17794055,KAZ
Kenya,48461567,KEN
Kyrgyz Republic,6079500,KGZ
Cambodia,15762370,KHM
Kiribati,114395,KIR
St. Kitts and Nevis,54821,KNA
"Korea, Rep.",51245707,KOR
Kuwait,4052584,KWT
Latin America & Caribbean (excluding high income),562254848,LAC
Lao PDR,6758353,LAO
Lebanon,6006668,LBN
Liberia,4613823,LBR
Libya,6293253,LBY
St. Lucia,178015,LCA
Latin America & Caribbean,637663890,LCN
Least developed countries: UN classification,979387925,LDC
Low income,714022293,LIC
Liechtenstein,37666,LIE
Sri Lanka,21203000,LKA
Lower middle income,2931075528,LMC
Low & middle income,6202019744,LMY
Lesotho,2203821,LSO
Late-demographic dividend,2264568981,LTE
Lithuania,2868231,LTU
Luxembourg,582014,LUX
Latvia,1959537,LVA
"Macao SAR, China",612167,MAC
St. Martin (French part),31949,MAF
Morocco,35276786,MAR
Monaco,38499,MCO
Moldova,3551954,MDA
Madagascar,24894551,MDG
Maldives,427756,MDV
Middle East & North Africa,436738031,MEA
Mexico,127540423,MEX
Marshall Islands,53066,MHL
Middle income,5487997451,MIC
"Macedonia, FYR",2081206,MKD
Mali,17994837,MLI
Malta,455356,MLT
Myanmar,52885223,MMR
Middle East & North Africa (excluding high income),373719055,MNA
Montenegro,622303,MNE
Mongolia,3027398,MNG
Northern Mariana Islands,55023,MNP
Mozambique,28829476,MOZ
Mauritania,4301018,MRT
Mauritius,1263473,MUS
Malawi,18091575,MWI
Malaysia,31187265,MYS
North America,359735880,NAC
Namibia,2479713,NAM
New Caledonia,276550,NCL
Niger,20672987,NER
Nigeria,185989640,NGA
Nicaragua,6149928,NIC
Netherlands,17030314,NLD
Norway,5234519,NOR
Nepal,28982771,NPL
Nauru,13049,NRU
New Zealand,4693200,NZL
OECD members,1292855641,OED
Oman,4424762,OMN
Other small states,30012500,OSS
Pakistan,193203476,PAK
Panama,4034119,PAN
Peru,31773839,PER
Philippines,103320222,PHL
Palau,21503,PLW
Papua New Guinea,8084991,PNG
Poland,37970087,POL
Pre-demographic dividend,879292453,PRE
Puerto Rico,3406520,PRI
"Korea, Dem. People’s Rep.",25368620,PRK
Portugal,10325452,PRT
Paraguay,6725308,PRY
West Bank and Gaza,4551566,PSE
Pacific island small states,2388875,PSS
Post-demographic dividend,1102778565,PST
French Polynesia,280208,PYF
Qatar,2569804,QAT
Romania,19702332,ROU
Russian Federation,144342396,RUS
Rwanda,11917508,RWA
South Asia,1766393714,SAS
Saudi Arabia,32275687,SAU
Sudan,39578828,SDN
Senegal,15411614,SEN
Singapore,5607283,SGP
Solomon Islands,599419,SLB
Sierra Leone,7396190,SLE
El Salvador,6344722,SLV
San Marino,33203,SMR
Somalia,14317996,SOM
Serbia,7058322,SRB
Sub-Saharan Africa (excluding high income),1033118066,SSA
South Sudan,12230730,SSD
Sub-Saharan Africa,1033212743,SSF
Small states,39646847,SST
Sao Tome and Principe,199910,STP
Suriname,558368,SUR
Slovak Republic,5430798,SVK
Slovenia,2065042,SVN
Sweden,9923085,SWE
Eswatini,1343098,SWZ
Sint Maarten (Dutch part),39969,SXM
Seychelles,94677,SYC
Syrian Arab Republic,18430453,SYR
Turks and Caicos Islands,34900,TCA
Chad,14452543,TCD
East Asia & Pacific (IDA & IBRD countries),2027896410,TEA
Europe & Central Asia (IDA & IBRD countries),455379371,TEC
Togo,7606374,TGO
Thailand,68863514,THA
Tajikistan,8734951,TJK
Turkmenistan,5662544,TKM
Latin America & the Caribbean (IDA & IBRD countries),621534921,TLA
Timor-Leste,1268671,TLS
Middle East & North Africa (IDA & IBRD countries),369167489,TMN
Tonga,107122,TON
South Asia (IDA & IBRD),1766393714,TSA
Sub-Saharan Africa (IDA & IBRD countries),1033212743,TSS
Trinidad and Tobago,1364962,TTO
Tunisia,11403248,TUN
Turkey,79512426,TUR
Tuvalu,11097,TUV
Tanzania,55572201,TZA
Uganda,41487965,UGA
Ukraine,45004645,UKR
Upper middle income,2556921923,UMC
Uruguay,3444006,URY
United States,323405935,USA
Uzbekistan,31847900,UZB
St. Vincent and the Grenadines,109643,VCT
"Venezuela, RB",31568179,VEN
British Virgin Islands,30661,VGB
Virgin Islands (U.S.),107510,VIR
Vietnam,94569072,VNM
Vanuatu,270402,VUT
World,7444157356,WLD
Samoa,195125,WSM
Kosovo,1816200,XKX
"Yemen, Rep.",27584213,YEM
South Africa,56015473,ZAF
Zambia,16591390,ZMB
Zimbabwe,16150362,ZWE
