Index,Country,GDP,CPI,Population,CleanGDP,NGDP,CleanCPI,NCPI,abbr,logPop
91,Mali,14,1.8," 18,000,000 ",13.7,0.000735602,2.6,0.013778484,MLI,7.255272505
92,Malta,11.3,1.4," 455,356 ",11,0.000590629,2.2,0.011658718,MLT,5.658351063
93,Mauritania,4.7,2.3," 4,300,000 ",4.4,0.000236252,3.1,0.016428193,MRT,6.633468456
94,Mauritius,12.2,3.7," 1,260,000 ",11.9,0.000638954,4.5,0.023847377,MUS,6.100370545
95,Mexico,1076.9,6," 128,000,000 ",1076.6,0.05780651,6.8,0.036036036,MEX,8.10720997
96,Moldova,6.8,6.6," 3,550,000 ",6.5,0.000349008,7.4,0.039215686,MDA,6.550228353
97,Mongolia,11.2,4.1," 3,030,000 ",10.9,0.00058526,4.9,0.025967144,MNG,6.481442629
98,Montenegro,4.4,2.4," 622,303 ",4.1,0.000220144,3.2,0.016958135,MNE,5.794001895
99,Morocco,103.6,0.8," 35,300,000 ",103.3,0.005546547,1.6,0.008479067,MAR,7.547774705
100,Mozambique,11,15.1," 28,800,000 ",10.7,0.000574521,15.9,0.084260731,MOZ,7.459392488
101,Myanmar,63.2,4.6," 52,900,000 ",62.9,0.003377326,5.4,0.028616852,MMR,7.723455672
102,Namibia,11.3,6.1," 2,480,000 ",11,0.000590629,6.9,0.036565978,NAM,6.394451681
103,Nepal,21.1,3.2," 29,000,000 ",20.8,0.001116826,4,0.021197668,NPL,7.462397998
104,Netherlands,777.2,1.4," 17,000,000 ",776.9,0.041714543,2.2,0.011658718,NLD,7.230448921
105,New Zealand,189.3,1.9," 4,690,000 ",189,0.010148087,2.7,0.014308426,NZL,6.671172843
106,Nicaragua,13.2,3.9," 6,150,000 ",12.9,0.000692647,4.7,0.02490726,NIC,6.788875116
107,Niger,7.6,2.4," 20,700,000 ",7.3,0.000391963,3.2,0.016958135,NER,7.315970345
108,Nigeria,404.7,16.5," 186,000,000 ",404.4,0.021713684,17.3,0.091679915,NGA,8.269512944
109,Norway,371.1,1.9," 5,230,000 ",370.8,0.01990958,2.7,0.014308426,NOR,6.718501689
110,Oman,66.8,1.6," 4,420,000 ",66.5,0.003570623,2.4,0.012718601,OMN,6.645422269
111,Pakistan,278.7,4.1," 193,000,000 ",278.4,0.014948293,4.9,0.025967144,PAK,8.285557309
112,Palau,0.3,1.3," 21,503 ",0,0,2.1,0.011128776,PLW,4.332499055
113,Panama,57.8,0.9," 4,030,000 ",57.5,0.003087381,1.7,0.009009009,PAN,6.605305046
114,Paraguay,27.4,3.6," 6,730,000 ",27.1,0.001455096,4.4,0.023317435,PRY,6.828015064
115,Peru,191.6,2.8," 31,800,000 ",191.3,0.010271582,3.6,0.019077901,PER,7.50242712
116,Philippines,304.9,2.9," 103,000,000 ",304.6,0.016355065,3.7,0.019607843,PHL,8.012837225
117,Poland,471.4,2.1," 38,000,000 ",471.1,0.025295046,2.9,0.015368309,POL,7.579783597
118,Portugal,205.2,1.4," 10,300,000 ",204.9,0.011001815,2.2,0.011658718,PRT,7.012837225
119,Romania,187.8,1.3," 19,700,000 ",187.5,0.010067547,2.1,0.011128776,ROU,7.294466226
120,Russian Federation,1284.7,3.7," 144,000,000 ",1284.4,0.068964036,4.5,0.023847377,RUS,8.158362492
121,Rwanda,8.5,8.3," 11,900,000 ",8.2,0.000440287,9.1,0.048224695,RWA,7.075546961
122,Samoa,0.8,1.6," 195,125 ",0.5,2.68E-05,2.4,0.012718601,WSM,5.290312916
123,San Marino,1.6,1," 33,203 ",1.3,6.98E-05,1.8,0.009538951,SMR,4.521177325
124,Sao Tome and Principe,0.4,5.7," 199,910 ",0.1,5.37E-06,6.5,0.034446211,STP,5.300834519
125,Saudi Arabia,644.9,-0.2," 32,300,000 ",644.6,0.034610883,0.6,0.00317965,SAU,7.509202522
126,Senegal,14.7,1.3," 15,400,000 ",14.4,0.000773188,2.1,0.011128776,SEN,7.187520721
127,Serbia,38.3,3.1," 7,060,000 ",38,0.002040356,3.9,0.020667727,SRB,6.848804701
128,Seychelles,1.4,2.9," 94,677 ",1.1,5.91E-05,3.7,0.019607843,SYC,4.976244488
129,Sierra Leone,3.6,18.2," 7,400,000 ",3.3,0.000177189,19,0.100688924,SLE,6.86923172
130,Singapore,309.8,0.6," 5,610,000 ",309.5,0.016618163,1.4,0.007419184,SGP,6.748962861
131,Slovak Republic,89.8,1.3," 5,430,000 ",89.5,0.004805576,2.1,0.011128776,SVK,6.73479983
132,Slovenia,44.7,1.4," 2,070,000 ",44.4,0.002383995,2.2,0.011658718,SVN,6.315970345
133,Solomon Islands,1.2,0.5," 599,419 ",0.9,4.83E-05,1.3,0.006889242,SLB,5.777730505
134,South Africa,295.8,5.2," 56,000,000 ",295.5,0.015866453,6,0.031796502,ZAF,7.748188027
135,South Sudan,2.9,187.9," 12,200,000 ",2.6,0.000139603,188.7,1,SSD,7.086359831
136,Spain,1237.3,2," 46,500,000 ",1237,0.06641896,2.8,0.014838368,ESP,7.667452953
137,Sri Lanka,81.8,7.7," 21,200,000 ",81.5,0.004376027,8.5,0.045045045,LKA,7.326335861
138,St. Kitts and Nevis,0.9,0.6," 54,821 ",0.6,3.22E-05,1.4,0.007419184,KNA,4.738946953
139,St. Lucia,1.7,0.1," 178,015 ",1.4,7.52E-05,0.9,0.004769475,LCA,5.250456599
140,St. Vincent and the Grenadines,0.8,2.2," 109,643 ",0.5,2.68E-05,3,0.015898251,VCT,5.03998091
141,Suriname,3.3,22," 558,368 ",3,0.000161081,22.8,0.120826709,SUR,5.746920521
142,Eswatini,3.7,6.2," 1,340,000 ",3.4,0.000182558,7,0.037095919,SWZ,6.127104798
143,Sweden,514.5,1.8," 9,920,000 ",514.2,0.02760924,2.6,0.013778484,SWE,6.996511672
144,Switzerland,668.7,0.5," 8,370,000 ",668.4,0.03588879,1.3,0.006889242,CHE,6.922725458
145,Tanzania,47.4,5.3," 55,600,000 ",47.1,0.002528968,6.1,0.032326444,TZA,7.745074792
146,Thailand,411.8,0.7," 68,900,000 ",411.5,0.022094909,1.5,0.007949126,THA,7.838219222
147,Timor-Leste,2.5,0.6," 1,270,000 ",2.2,0.000118126,1.4,0.007419184,TLS,6.103803721
148,Togo,4.4,-0.8," 7,610,000 ",4.1,0.000220144,0,0,TGO,6.881384657
149,Trinidad and Tobago,22.3,1.9," 1,360,000 ",22,0.001181259,2.7,0.014308426,TTO,6.133538908
150,Tunisia,42.1,5.3," 11,400,000 ",41.8,0.002244392,6.1,0.032326444,TUN,7.056904851
151,Turkey,863.7,11.1," 79,500,000 ",863.4,0.046359038,11.9,0.063063063,TUR,7.900367129
152,Uganda,24.1,5.2," 41,500,000 ",23.8,0.001277907,6,0.031796502,UGA,7.618048097
153,Ukraine,93.3,14.4," 45,000,000 ",93,0.004993503,15.2,0.080551139,UKR,7.653212514
154,United Arab Emirates,357,2," 9,270,000 ",356.7,0.019152501,2.8,0.014838368,ARE,6.967079734
155,United Kingdom,2650.9,2.7," 65,600,000 ",2650.6,0.142320207,3.5,0.01854796,GBR,7.816903839
156,United States,18624.5,2.1," 323,000,000 ",18624.2,1,2.9,0.015368309,USA,8.509202522
157,Uruguay,52.7,6.2," 3,440,000 ",52.4,0.002813544,7,0.037095919,URY,6.536558443
158,Vietnam,205.3,3.5," 94,600,000 ",205,0.011007184,4.3,0.022787493,VNM,7.975891136
159,West Bank and Gaza,13.4,0.2," 4,550,000 ",13.1,0.000703386,1,0.005299417,PSE,6.658011397
160,Zambia,21,6.6," 16,600,000 ",20.7,0.001111457,7.4,0.039215686,ZMB,7.220108088
161,Zimbabwe,16.6,0.9," 16,200,000 ",16.3,0.000875205,1.7,0.009009009,ZWE,7.209515015
